Date,DE40Cash_profit,DE40Cash_lot,Date,Price,Open,High,Low,Vol.,Change %,DE40Cash_China_profit,DE40Cash_China_lot,DE40Cash_World_profit,DE40Cash_World_lot
31/07/2024,-323.83,59.73,7/31/2024,18508.65,18503.18,18564.39,18434.82,62.45M,0.53%,-3045.25,26.57,9.13,0.34
01/08/2024,-7160.36,106.40,8/1/2024,18083.05,18432.50,18440.92,18069.62,71.40M,-2.30%,-1303.32,25.55,57.98,1.28
02/08/2024,-16366.07,70.85,8/2/2024,17661.22,17884.86,17918.02,17623.97,93.52M,-2.33%,-809.22,27.11,93.88,0.18
05/08/2024,-44768.43,138.15,8/5/2024,17339.00,17525.59,17525.59,17024.82,101.88M,-1.82%,4833.32,83.27,1740.86,0.55
06/08/2024,-15192.53,66.52,8/6/2024,17354.32,17422.57,17505.23,17233.07,78.12M,0.09%,-456.97,27.44,69.31,0.03
07/08/2024,9520.63,302.74,8/7/2024,17615.15,17438.65,17666.82,17386.88,73.60M,1.50%,1439.38,16.88,30.91,0.20
08/08/2024,-679.06,47.60,8/8/2024,17680.40,17516.05,17696.67,17439.87,61.73M,0.37%,-21344.85,32.11,28.37,0.19
09/08/2024,-11437.55,76.93,8/9/2024,17722.88,17672.90,17788.72,17618.42,,0.24%,292.88,5.95,0.91,0.04
12/08/2024,2209.69,45.68,8/12/2024,17726.47,17784.03,17829.10,17677.79,38.71M,0.02%,6131.47,37.77,5.72,0.05
13/08/2024,10352.53,63.02,8/13/2024,17812.05,17799.66,17817.07,17669.64,,0.48%,272.02,11.46,18.07,0.08
14/08/2024,45388.33,90.38,8/14/2024,17885.60,17882.18,17921.99,17827.08,,0.41%,85.48,8.58,3.72,0.07
15/08/2024,15739.72,88.54,8/15/2024,18183.24,17977.81,18198.09,17909.74,,1.66%,70.51,4.63,12.46,0.02
16/08/2024,-13863.60,53.44,8/16/2024,18322.40,18236.02,18344.22,18226.60,63.80M,0.77%,-2866.22,33.81,116.05,0.58
19/08/2024,3340.99,37.54,8/19/2024,18421.69,18312.51,18454.94,18284.86,43.77M,0.54%,146.49,4.29,9.26,0.70
20/08/2024,-7644.43,80.56,8/20/2024,18357.52,18473.23,18495.28,18349.98,42.91M,-0.35%,77.42,4.22,-10.74,0.07
21/08/2024,-3984.81,42.74,8/21/2024,18448.95,18358.79,18476.63,18352.19,36.07M,0.50%,102.55,3.48,57.55,0.09
22/08/2024,5217.74,75.22,8/22/2024,18493.39,18459.28,18551.39,18458.61,40.95M,0.24%,-125.82,5.96,-1.75,0.14
23/08/2024,-8160.25,26.60,8/23/2024,18633.10,18538.87,18670.45,18519.29,41.12M,0.76%,-1675.54,11.82,-8.78,0.29
26/08/2024,3666.20,22.84,8/26/2024,18617.02,18589.90,18638.97,18554.51,23.95M,-0.09%,1010.13,44.17,-3.90,0.04
27/08/2024,-14766.72,42.46,8/27/2024,18681.81,18637.20,18724.39,18622.66,35.31M,0.35%,7274.42,49.68,-6.93,0.16
28/08/2024,-10829.96,53.41,8/28/2024,18782.29,18745.14,18856.59,18731.45,37.62M,0.54%,2474.20,21.07,36.40,0.10
29/08/2024,-15442.90,56.82,8/29/2024,18912.57,18791.17,18936.04,18781.16,39.42M,0.69%,7378.06,56.15,15.34,0.11
30/08/2024,-11623.09,47.18,8/30/2024,18906.92,18891.35,18970.71,18886.09,95.58M,-0.03%,-180.64,45.50,-2.70,0.21
02/09/2024,-8093.12,26.96,9/2/2024,18930.85,18913.53,18937.98,18778.54,36.66M,0.13%,317.19,6.95,10.41,0.11
03/09/2024,-12287.22,69.55,9/3/2024,18747.11,18979.53,18990.78,18728.46,51.87M,-0.97%,5181.62,70.60,-8.84,0.25
04/09/2024,-10288.76,53.46,9/4/2024,18591.85,18531.98,18654.20,18531.98,52.36M,-0.83%,363.17,6.63,7.51,0.32
05/09/2024,1880.26,42.39,9/5/2024,18576.50,18539.15,18677.63,18536.56,57.26M,-0.08%,-2276.34,45.10,29.23,0.15
06/09/2024,2235.58,44.93,9/6/2024,18301.90,18534.87,18607.79,18274.98,60.81M,-1.48%,7276.63,31.36,85.69,0.34
09/09/2024,-3271.21,39.00,9/9/2024,18443.56,18379.52,18484.28,18353.25,43.11M,0.77%,-8916.90,41.08,39.89,0.24
10/09/2024,-13852.53,44.09,9/10/2024,18265.92,18417.11,18490.68,18233.86,70.04M,-0.96%,1351.49,13.43,40.63,0.06
11/09/2024,-10384.05,74.77,9/11/2024,18330.27,18342.57,18434.62,18208.84,87.37M,0.35%,297.41,4.31,8.03,0.02
12/09/2024,-20503.31,52.60,9/12/2024,18518.39,18533.41,18595.83,18382.26,61.59M,1.03%,723.61,16.17,2.59,0.53
13/09/2024,-5878.91,62.30,9/13/2024,18699.40,18546.22,18722.19,18542.23,69.69M,0.98%,494.61,21.07,40.33,0.13
16/09/2024,-13036.78,50.26,9/16/2024,18633.11,18621.78,18672.23,18599.53,51.21M,-0.35%,-1242.74,34.24,8.79,0.12
17/09/2024,-7840.73,55.06,9/17/2024,18726.08,18686.76,18805.09,18671.64,60.26M,0.50%,1973.61,40.65,108.34,0.72
18/09/2024,-8477.66,62.38,9/18/2024,18711.49,18729.64,18756.53,18695.37,56.15M,-0.08%,-999.03,18.06,397.77,0.15
19/09/2024,4235.71,55.99,9/19/2024,19002.38,18877.57,19044.96,18806.16,80.22M,1.55%,7286.52,35.99,84.97,0.34
20/09/2024,483.72,46.00,9/20/2024,18720.01,18895.82,18900.44,18710.34,155.12M,-1.49%,7443.34,48.34,16.92,0.14
23/09/2024,769.59,37.21,9/23/2024,18846.79,18766.92,18857.37,18684.34,67.19M,0.68%,976.19,24.95,14.98,0.41
24/09/2024,-7173.87,77.90,9/24/2024,18996.63,18982.40,19029.45,18903.48,57.33M,0.80%,-2062.42,40.08,3.89,0.58
25/09/2024,-4241.94,135.88,9/25/2024,18918.50,18845.92,18965.01,18840.13,52.17M,-0.41%,10831.59,47.56,36.80,0.12
26/09/2024,98032.87,253.46,9/26/2024,19238.36,19107.86,19253.07,19088.42,78.29M,1.69%,-4421.47,78.91,67.19,0.69
27/09/2024,45682.60,156.19,9/27/2024,19473.63,19257.68,19491.93,19239.86,77.62M,1.22%,-3025.51,55.76,-25.85,0.47
30/09/2024,-30810.67,81.71,9/30/2024,19324.93,19412.33,19449.98,19314.34,67.08M,-0.76%,-3185.13,43.30,27.45,0.30
01/10/2024,3164.85,66.03,10/1/2024,19213.14,19409.39,19448.95,19143.79,69.88M,-0.58%,631.94,15.73,49.45,0.34
02/10/2024,-22707.45,50.71,10/2/2024,19164.75,19221.66,19250.89,19059.60,49.48M,-0.25%,331.53,27.97,-8.42,0.19
03/10/2024,-9646.28,52.94,10/3/2024,19015.41,19074.45,19110.31,18964.31,46.99M,-0.78%,2801.89,31.31,-13.38,0.08
04/10/2024,-12828.93,43.18,10/4/2024,19120.93,18968.85,19171.54,18952.44,58.40M,0.55%,-11470.83,46.99,27.77,0.38
07/10/2024,-21212.49,46.48,10/7/2024,19104.10,19150.27,19151.97,19011.94,46.29M,-0.09%,6706.78,27.08,16.49,0.52
08/10/2024,-27869.62,62.38,10/8/2024,19066.47,18937.70,19098.48,18911.72,49.31M,-0.20%,1865.28,7.29,-382.16,28.27
09/10/2024,-6261.31,30.78,10/9/2024,19254.93,19065.18,19259.12,19007.85,53.33M,0.99%,-3035.68,39.95,-218.87,24.06
10/10/2024,-7900.43,44.62,10/10/2024,19210.90,19242.85,19285.16,19145.42,52.37M,-0.23%,-1803.33,16.97,304.88,18.21
11/10/2024,-28000.57,56.88,10/11/2024,19373.83,19206.31,19377.10,19175.78,54.98M,0.85%,185.51,5.17,-384.13,6.29
14/10/2024,-10304.34,50.50,10/14/2024,19508.29,19409.69,19518.44,19392.64,43.01M,0.69%,11540.66,39.33,178.70,12.55
15/10/2024,-19482.76,83.48,10/15/2024,19486.19,19581.57,19633.91,19457.49,69.66M,-0.11%,1773.09,50.27,-33.62,0.34
16/10/2024,-5542.16,71.60,10/16/2024,19432.81,19465.30,19510.26,19401.54,51.09M,-0.27%,1526.73,24.32,30.89,0.27
17/10/2024,1096.62,103.58,10/17/2024,19583.39,19509.79,19674.68,19499.46,49.00M,0.77%,-1525.54,40.25,362.61,2.36
18/10/2024,-3452.33,78.42,10/18/2024,19657.37,19543.71,19667.34,19540.20,57.11M,0.38%,-5494.80,19.76,65.03,0.45
21/10/2024,-5889.84,52.79,10/21/2024,19461.19,19609.42,19645.02,19451.72,41.63M,-1.00%,15312.21,45.85,343.00,8.16
22/10/2024,-1518.97,67.15,10/22/2024,19421.91,19528.91,19591.49,19368.69,54.44M,-0.20%,3004.94,29.19,32.19,0.24
23/10/2024,716.36,53.29,10/23/2024,19377.62,19399.33,19464.54,19330.11,52.26M,-0.23%,-693.27,15.42,6.05,2.05
24/10/2024,-2478.76,68.22,10/24/2024,19443.00,19417.73,19555.45,19417.73,55.47M,0.34%,-1515.65,3.41,204.31,2.25
25/10/2024,-10011.37,62.79,10/25/2024,19463.59,19419.52,19516.24,19388.91,46.01M,0.11%,193.06,2.69,14.27,0.12
28/10/2024,-4519.50,54.36,10/28/2024,19531.62,19528.67,19570.92,19399.16,46.67M,0.35%,-1196.31,9.49,-1573.45,1.28
29/10/2024,4629.60,67.11,10/29/2024,19478.07,19634.33,19643.12,19465.00,46.98M,-0.27%,166.02,1.01,118.91,2.26
30/10/2024,4554.14,63.77,10/30/2024,19257.34,19403.43,19420.94,19201.24,59.54M,-1.13%,-249.98,1.84,-12.66,0.24
31/10/2024,4999.46,69.19,10/31/2024,19077.54,19096.68,19184.31,19004.97,63.37M,-0.93%,419.60,8.84,43.01,0.39
01/11/2024,5467.33,26.23,11/1/2024,19254.97,19093.99,19297.64,19082.10,45.76M,0.93%,11.64,2.82,80.73,0.34
04/11/2024,11179.76,47.37,11/4/2024,19147.85,19231.86,19286.04,19147.76,43.11M,-0.56%,1.69,0.05,-141.37,0.32
05/11/2024,5267.57,28.82,11/5/2024,19256.27,19170.15,19263.14,19104.59,47.18M,0.57%,107.00,1.75,50.03,0.15
06/11/2024,-1531.92,58.17,11/6/2024,19039.31,19360.75,19563.97,19007.88,112.73M,-1.13%,627.77,6.01,138.11,0.35
07/11/2024,-6304.23,37.00,11/7/2024,19362.52,19157.22,19437.88,19148.79,83.27M,1.70%,-295.92,2.40,18.34,0.05
08/11/2024,-7797.85,63.08,11/8/2024,19215.48,19411.59,19411.60,19146.53,69.79M,-0.76%,610.37,13.63,9.45,0.12
